id_origin,id_destino,times
101 / Manhattan,105 / Manhattan,53
101 / Manhattan,306 / Brooklyn,2
101 / Manhattan,102 / Manhattan,63
101 / Manhattan,483 / Queens,7
101 / Manhattan,108 / Manhattan,20
101 / Manhattan,104 / Manhattan,28
101 / Manhattan,101 / Manhattan,55
101 / Manhattan,106 / Manhattan,26
101 / Manhattan,227 / Bronx,1
101 / Manhattan,103 / Manhattan,30
101 / Manhattan,401 / Queens,5
101 / Manhattan,311 / Brooklyn,1
101 / Manhattan,302 / Brooklyn,7
101 / Manhattan,107 / Manhattan,7
101 / Manhattan,406 / Queens,1
101 / Manhattan,301 / Brooklyn,7
101 / Manhattan,480 / Queens,4
101 / Manhattan,410 / Queens,1
101 / Manhattan,201 / Bronx,1
101 / Manhattan,402 / Queens,3
101 / Manhattan,109 / Manhattan,3
101 / Manhattan,403 / Queens,2
101 / Manhattan,304 / Brooklyn,1
101 / Manhattan,110 / Manhattan,3
101 / Manhattan,307 / Brooklyn,3
101 / Manhattan,308 / Brooklyn,2
101 / Manhattan,309 / Brooklyn,1
101 / Manhattan,408 / Queens,1
101 / Manhattan,111 / Manhattan,2
101 / Manhattan,303 / Brooklyn,1
102 / Manhattan,105 / Manhattan,202
102 / Manhattan,102 / Manhattan,154
102 / Manhattan,301 / Brooklyn,26
102 / Manhattan,107 / Manhattan,50
102 / Manhattan,101 / Manhattan,83
102 / Manhattan,104 / Manhattan,113
102 / Manhattan,302 / Brooklyn,26
102 / Manhattan,112 / Manhattan,8
102 / Manhattan,406 / Queens,4
102 / Manhattan,401 / Queens,23
102 / Manhattan,106 / Manhattan,85
102 / Manhattan,103 / Manhattan,105
102 / Manhattan,306 / Brooklyn,10
102 / Manhattan,304 / Brooklyn,6
102 / Manhattan,307 / Brooklyn,7
102 / Manhattan,108 / Manhattan,78
102 / Manhattan,308 / Brooklyn,4
102 / Manhattan,314 / Brooklyn,7
102 / Manhattan,312 / Brooklyn,2
102 / Manhattan,404 / Queens,2
102 / Manhattan,164 / Manhattan,11
102 / Manhattan,303 / Brooklyn,10
102 / Manhattan,208 / Bronx,1
102 / Manhattan,402 / Queens,11
102 / Manhattan,483 / Queens,9
102 / Manhattan,403 / Queens,6
102 / Manhattan,109 / Manhattan,7
102 / Manhattan,111 / Manhattan,5
102 / Manhattan,201 / Bronx,2
102 / Manhattan,480 / Queens,10
102 / Manhattan,212 / Bronx,3
102 / Manhattan,310 / Brooklyn,3
102 / Manhattan,226 / Bronx,1
102 / Manhattan,405 / Queens,3
102 / Manhattan,110 / Manhattan,5
102 / Manhattan,309 / Brooklyn,4
102 / Manhattan,317 / Brooklyn,3
102 / Manhattan,409 / Queens,1
102 / Manhattan,204 / Bronx,2
102 / Manhattan,501 / Staten Island,2
102 / Manhattan,481 / Queens,1
102 / Manhattan,209 / Bronx,1
102 / Manhattan,407 / Queens,1
102 / Manhattan,411 / Queens,2
102 / Manhattan,413 / Queens,1
102 / Manhattan,207 / Bronx,1
102 / Manhattan,313 / Brooklyn,1
103 / Manhattan,105 / Manhattan,140
103 / Manhattan,106 / Manhattan,142
103 / Manhattan,102 / Manhattan,110
103 / Manhattan,111 / Manhattan,11
103 / Manhattan,108 / Manhattan,62
103 / Manhattan,310 / Brooklyn,4
103 / Manhattan,107 / Manhattan,45
103 / Manhattan,304 / Brooklyn,7
103 / Manhattan,101 / Manhattan,47
103 / Manhattan,103 / Manhattan,107
103 / Manhattan,301 / Brooklyn,54
103 / Manhattan,401 / Queens,20
103 / Manhattan,303 / Brooklyn,18
103 / Manhattan,104 / Manhattan,83
103 / Manhattan,308 / Brooklyn,8
103 / Manhattan,302 / Brooklyn,27
103 / Manhattan,402 / Queens,15
103 / Manhattan,202 / Bronx,1
103 / Manhattan,309 / Brooklyn,4
103 / Manhattan,207 / Bronx,2
103 / Manhattan,480 / Queens,3
103 / Manhattan,403 / Queens,5
103 / Manhattan,483 / Queens,5
103 / Manhattan,307 / Brooklyn,8
103 / Manhattan,412 / Queens,1
103 / Manhattan,164 / Manhattan,6
103 / Manhattan,306 / Brooklyn,18
103 / Manhattan,205 / Bronx,1
103 / Manhattan,406 / Queens,4
103 / Manhattan,312 / Brooklyn,3
103 / Manhattan,414 / Queens,1
103 / Manhattan,110 / Manhattan,8
103 / Manhattan,405 / Queens,4
103 / Manhattan,109 / Manhattan,6
103 / Manhattan,411 / Queens,2
103 / Manhattan,404 / Queens,2
103 / Manhattan,314 / Brooklyn,3
103 / Manhattan,208 / Bronx,2
103 / Manhattan,311 / Brooklyn,1
103 / Manhattan,211 / Bronx,1
103 / Manhattan,112 / Manhattan,5
103 / Manhattan,316 / Brooklyn,1
103 / Manhattan,355 / Brooklyn,1
103 / Manhattan,408 / Queens,1
103 / Manhattan,313 / Brooklyn,1
103 / Manhattan,204 / Bronx,1
104 / Manhattan,104 / Manhattan,281
104 / Manhattan,105 / Manhattan,263
104 / Manhattan,106 / Manhattan,69
104 / Manhattan,107 / Manhattan,89
104 / Manhattan,480 / Queens,25
104 / Manhattan,103 / Manhattan,63
104 / Manhattan,102 / Manhattan,96
104 / Manhattan,109 / Manhattan,14
104 / Manhattan,401 / Queens,17
104 / Manhattan,101 / Manhattan,43
104 / Manhattan,409 / Queens,4
104 / Manhattan,306 / Brooklyn,10
104 / Manhattan,111 / Manhattan,25
104 / Manhattan,108 / Manhattan,71
104 / Manhattan,301 / Brooklyn,11
104 / Manhattan,302 / Brooklyn,8
104 / Manhattan,201 / Bronx,2
104 / Manhattan,402 / Queens,6
104 / Manhattan,164 / Manhattan,19
104 / Manhattan,303 / Brooklyn,10
104 / Manhattan,407 / Queens,2
104 / Manhattan,411 / Queens,2
104 / Manhattan,110 / Manhattan,17
104 / Manhattan,483 / Queens,4
104 / Manhattan,316 / Brooklyn,1
104 / Manhattan,112 / Manhattan,12
104 / Manhattan,413 / Queens,1
104 / Manhattan,403 / Queens,4
104 / Manhattan,304 / Brooklyn,2
104 / Manhattan,202 / Bronx,1
104 / Manhattan,312 / Brooklyn,3
104 / Manhattan,206 / Bronx,1
104 / Manhattan,311 / Brooklyn,1
104 / Manhattan,211 / Bronx,1
104 / Manhattan,310 / Brooklyn,4
104 / Manhattan,308 / Brooklyn,4
104 / Manhattan,404 / Queens,3
104 / Manhattan,408 / Queens,1
104 / Manhattan,212 / Bronx,1
104 / Manhattan,309 / Brooklyn,1
104 / Manhattan,406 / Queens,1
104 / Manhattan,405 / Queens,1
104 / Manhattan,317 / Brooklyn,1
104 / Manhattan,318 / Brooklyn,1
104 / Manhattan,209 / Bronx,1
105 / Manhattan,105 / Manhattan,462
105 / Manhattan,480 / Queens,49
