id_origin,id_destino,times
101,105,53
101,306,2
101,102,63
101,483,7
101,108,20
101,104,28
101,101,55
101,106,26
101,227,1
101,103,30
101,401,5
101,311,1
101,302,7
101,107,7
101,406,1
101,301,7
101,480,4
101,410,1
101,201,1
101,402,3
101,109,3
101,403,2
101,304,1
101,110,3
101,307,3
101,308,2
101,309,1
101,408,1
101,111,2
101,303,1
102,105,202
102,102,154
102,301,26
102,107,50
102,101,83
102,104,113
102,302,26
102,112,8
102,406,4
102,401,23
102,106,85
102,103,105
102,306,10
102,304,6
102,307,7
102,108,78
102,308,4
102,314,7
102,312,2
102,404,2
102,164,11
102,303,10
102,208,1
102,402,11
102,483,9
102,403,6
102,109,7
102,111,5
102,201,2
102,480,10
102,212,3
102,310,3
102,226,1
102,405,3
102,110,5
102,309,4
102,317,3
102,409,1
102,204,2
102,501,2
102,481,1
102,209,1
102,407,1
102,411,2
102,413,1
102,207,1
102,313,1
103,105,140
103,106,142
103,102,110
103,111,11
103,108,62
103,310,4
103,107,45
103,304,7
103,101,47
103,103,107
103,301,54
103,401,20
103,303,18
103,104,83
103,308,8
103,302,27
103,402,15
103,202,1
103,309,4
103,207,2
103,480,3
103,403,5
103,483,5
103,307,8
103,412,1
103,164,6
103,306,18
103,205,1
103,406,4
103,312,3
103,414,1
103,110,8
103,405,4
103,109,6
103,411,2
103,404,2
103,314,3
103,208,2
103,311,1
103,211,1
103,112,5
103,316,1
103,355,1
103,408,1
103,313,1
103,204,1
104,104,281
104,105,263
104,106,69
104,107,89
104,480,25
104,103,63
104,102,96
104,109,14
104,401,17
104,101,43
104,409,4
104,306,10
104,111,25
104,108,71
104,301,11
104,302,8
104,201,2
104,402,6
104,164,19
104,303,10
104,407,2
104,411,2
104,110,17
104,483,4
104,316,1
104,112,12
104,413,1
104,403,4
104,304,2
104,202,1
104,312,3
104,206,1
104,311,1
104,211,1
104,310,4
104,308,4
104,404,3
104,408,1
104,212,1
104,309,1
104,406,1
104,405,1
104,317,1
104,318,1
104,209,1
105,105,462
105,480,49
105,104,278
105,107,80
105,311,2
105,101,58
105,402,18
105,106,125
105,102,131
105,108,129
105,401,33
105,410,3
105,103,51
105,301,8
105,411,1
105,303,7
105,310,9
105,306,7
105,111,26
105,164,29
105,109,15
105,406,3
105,483,28
105,312,2
105,403,11
105,408,2
105,112,12
105,502,1
105,208,3
105,110,12
105,308,4
105,302,14
105,204,1
105,201,4
105,314,1
105,226,1
105,318,1
105,307,6
105,409,1
105,209,1
105,407,2
105,315,2
105,304,2
105,212,1
105,404,1
105,317,1
105,210,1
105,309,1
105,405,1
106,104,88
106,106,184
106,105,223
106,111,12
106,102,61
106,103,47
106,301,12
106,311,2
106,480,28
106,302,11
106,406,4
106,107,42
106,307,4
106,108,143
106,313,1
106,402,10
106,101,31
106,110,3
106,404,3
106,164,10
106,112,7
106,401,33
106,408,1
106,209,3
106,483,14
106,403,6
106,308,5
106,405,3
106,356,1
106,309,3
106,303,3
106,310,1
106,414,1
106,210,2
106,304,1
106,109,1
106,503,1
106,318,1
106,314,1
106,409,1
106,411,2
106,306,1
107,110,21
107,108,119
107,105,123
107,109,32
107,107,292
107,104,81
107,111,31
107,164,35
107,483,8
107,402,4
107,318,1
107,403,3
107,101,7
107,102,13
107,103,10
107,106,20
107,480,13
107,207,2
107,112,11
107,302,3
107,401,4
107,201,1
107,206,1
107,303,1
107,406,1
107,208,2
107,306,1
107,204,2
107,412,1
107,314,1
107,404,1
108,105,217
108,108,434
108,102,29
108,301,5
108,107,92
108,164,42
108,106,107
108,111,48
108,110,22
108,402,8
108,109,11
108,302,3
108,104,42
108,480,25
108,401,18
108,112,10
108,406,1
108,101,16
108,483,17
108,201,1
108,103,23
108,407,2
108,403,3
108,204,2
108,306,2
108,307,2
108,405,4
108,316,1
108,203,2
108,208,1
108,212,1
108,314,1
108,206,1
108,304,1
108,408,1
108,502,1
108,303,1
108,205,1
109,107,23
109,109,14
109,307,1
109,110,7
109,105,7
109,106,3
109,104,8
109,108,5
109,164,3
109,483,1
109,201,1
109,111,3
109,112,3
109,401,1
109,480,3
109,101,1
109,103,1
110,109,6
110,110,13
110,111,10
110,104,7
110,105,4
110,108,7
110,107,8
110,164,3
110,204,1
110,480,3
110,401,1
110,102,1
110,106,2
110,301,1
111,107,12
111,111,14
111,105,14
111,402,3
111,108,32
111,104,5
111,106,8
111,209,3
111,480,2
111,112,2
111,110,6
111,103,1
111,208,1
111,109,3
111,164,1
111,211,1
111,401,4
111,102,1
111,483,1
111,207,1
111,202,1
111,201,1
111,101,1
112,107,2
112,112,2
112,404,1
112,109,2
112,110,4
112,305,1
112,480,1
112,104,1
112,403,1
112,204,1
112,164,2
164,108,33
164,107,28
164,111,3
164,164,9
164,102,5
164,105,20
164,480,5
164,106,3
164,112,3
164,110,2
164,104,1
164,406,1
164,401,1
164,402,1
164,307,1
164,302,1
201,107,1
204,206,1
204,204,3
204,110,1
205,205,2
210,210,1
212,212,1
301,401,5
301,301,43
301,407,1
301,112,2
301,304,11
301,108,6
301,101,6
301,315,1
301,307,2
301,102,11
301,106,2
301,105,7
301,302,7
301,303,12
301,103,19
301,104,6
301,110,1
301,107,4
301,109,1
301,405,6
301,402,3
301,306,6
301,316,1
301,480,1
301,314,2
301,111,1
301,404,1
301,312,1
301,309,1
301,308,3
301,164,1
302,306,9
302,101,5
302,314,1
302,315,1
302,105,5
302,310,1
302,302,17
302,308,3
302,108,5
302,102,8
302,106,3
302,104,3
302,309,3
302,164,1
302,402,1
302,307,2
302,311,1
302,405,1
302,103,3
302,317,1
302,301,2
302,303,1
302,107,1
302,304,1
303,302,1
303,104,1
303,303,1
303,401,1
304,101,1
304,303,2
304,304,2
304,164,1
306,402,1
306,102,5
306,301,4
306,306,16
306,302,7
306,101,1
306,106,4
306,103,8
306,303,2
306,480,4
306,307,2
306,308,2
306,105,6
306,107,2
306,104,1
306,355,1
307,104,1
307,307,2
307,102,1
307,306,1
308,301,2
308,302,2
308,306,2
308,308,2
308,105,1
308,309,1
309,102,1
309,108,1
309,306,1
309,303,1
310,104,1
310,310,2
312,301,1
312,314,1
314,306,1
314,314,6
314,305,1
315,315,1
316,308,1
318,317,1
355,314,1
401,402,5
401,105,14
401,401,46
401,307,1
401,104,5
401,106,12
401,108,14
401,303,1
401,107,5
401,412,1
401,111,3
401,405,2
401,403,10
401,103,4
401,480,1
401,109,2
401,101,3
401,102,1
401,483,1
401,110,1
401,202,1
401,406,1
401,164,2
401,112,1
401,302,2
401,206,1
402,108,13
402,105,16
402,403,4
402,102,2
402,106,8
402,402,15
402,107,2
402,111,2
402,104,3
402,483,1
402,103,6
402,301,4
402,401,7
402,112,1
402,404,2
402,480,2
402,409,1
402,407,2
402,309,1
402,101,1
403,403,3
403,402,3
403,107,1
403,112,1
403,404,1
403,103,1
403,109,1
403,401,1
403,108,1
404,204,1
404,406,1
404,405,1
404,404,4
404,105,1
404,403,2
404,107,1
404,401,1
404,402,1
404,102,1
405,105,1
405,405,1
406,404,2
406,406,2
406,301,1
406,106,2
406,412,1
406,405,1
406,407,1
407,401,1
407,103,1
408,103,1
408,306,1
409,406,2
409,409,1
410,410,1
410,483,1
412,104,2
412,103,1
480,105,36
480,112,2
480,101,4
480,108,7
480,107,3
480,405,1
480,104,10
480,401,2
480,413,1
480,106,7
480,306,1
480,303,1
480,109,1
480,480,2
480,208,1
480,164,1
480,111,2
480,102,3
480,404,1
480,103,1
480,403,1
480,301,1
480,305,2
480,412,2
480,307,1
481,401,1
481,105,1
483,105,19
483,402,4
483,301,8
483,413,3
483,408,10
483,106,13
483,302,7
483,104,7
483,410,2
483,206,1
483,107,9
483,110,4
483,209,2
483,314,1
483,480,6
483,483,8
483,412,4
483,109,3
483,315,1
483,407,3
483,303,3
483,411,5
483,306,5
483,318,5
483,311,1
483,111,3
483,112,3
483,481,1
483,414,2
483,307,1
483,108,8
483,406,3
483,404,2
483,101,5
483,403,4
483,310,1
483,409,1
483,401,2
483,212,1
483,102,4
483,502,1
483,164,1
483,312,2
483,309,2
483,305,1
