id_origin,id_destino,times
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",105,53
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",306,2
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",102,63
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",483,7
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",108,20
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",104,28
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",101,55
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",106,26
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",227,1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",103,30
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",401,5
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",311,1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",302,7
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",107,7
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",406,1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",301,7
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",480,4
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",410,1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",201,1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",402,3
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",109,3
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",403,2
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",304,1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",110,3
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",307,3
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",308,2
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",309,1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",408,1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",111,2
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",303,1
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",105,202
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",102,154
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",301,26
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",107,50
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",101,83
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",104,113
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",302,26
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",112,8
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",406,4
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",401,23
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",106,85
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",103,105
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",306,10
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",304,6
