id_origin,id_destino,times
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",53
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","306 / Brooklyn/ ""Red Hook - Park Slope - Gowanus - Carroll Gardens - Cobble Hill""",2
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",63
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","483 / Queens/ ""Airport""",7
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",20
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","104 / Manhattan/ ""Chelsea - Clinton""",28
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""",55
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",26
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","227 / Bronx/ ""Park""",1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",30
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","401 / Queens/ ""Astoria & Long Island City""",5
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","311 / Brooklyn/ ""Bensonhurst - Mapleton - Bath Beach - Gravesend""",1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","302 / Brooklyn/ ""Downtown Brooklyn - Fort Greene - Brooklyn Heights - Boerum Hill""",7
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","107 / Manhattan/ ""Lincoln Square - Upper West Side""",7
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","406 / Queens/ ""Rego Park & Forest Hills""",1
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","301 / Brooklyn/ ""Greenpoint - Williamsburg""",7
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","480 / Queens/ ""Airport""",4
"101 / Manhattan/ ""Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca""","410 / Queens/ ""Howard Beach - Ozone Park - South Ozone Park""",1
