id_origin,id_destino,times
101,105,53
101,306,2
101,102,63
101,105,53
101,483,7
101,105,53
101,108,20
101,104,28
101,101,55
101,101,55
101,101,55
101,105,53
101,106,26
101,108,20
101,105,53
101,106,26
101,105,53
101,227,1
101,102,63
101,102,63
101,105,53
101,103,30
101,401,5
101,311,1
101,302,7
101,102,63
101,103,30
101,104,28
101,302,7
101,103,30
101,105,53
101,103,30
101,104,28
101,101,55
101,107,7
101,105,53
101,105,53
101,302,7
101,105,53
101,105,53
101,105,53
101,105,53
101,101,55
101,101,55
101,106,26
101,101,55
101,102,63
101,101,55
101,104,28
101,105,53
101,104,28
101,103,30
101,105,53
101,105,53
101,103,30
101,102,63
101,108,20
101,406,1
101,101,55
101,101,55
101,102,63
101,107,7
101,106,26
101,101,55
101,108,20
101,103,30
101,104,28
101,103,30
101,101,55
101,105,53
101,106,26
101,102,63
101,301,7
101,102,63
101,101,55
101,103,30
101,104,28
101,101,55
101,101,55
101,104,28
101,106,26
101,101,55
101,107,7
101,101,55
101,102,63
101,101,55
101,480,4
101,104,28
101,103,30
101,104,28
101,105,53
101,101,55
101,410,1
101,104,28
101,105,53
101,104,28
101,105,53
101,105,53
101,101,55
101,103,30
101,483,7
101,301,7
101,106,26
101,101,55
101,102,63
101,106,26
101,107,7
101,103,30
101,105,53
101,108,20
101,108,20
101,108,20
101,101,55
101,101,55
101,201,1
101,101,55
101,104,28
101,402,3
101,402,3
101,104,28
101,105,53
101,102,63
101,103,30
101,109,3
101,101,55
101,102,63
101,105,53
101,105,53
101,101,55
101,101,55
101,102,63
101,105,53
101,301,7
101,102,63
101,480,4
101,102,63
101,101,55
101,483,7
101,103,30
101,104,28
101,102,63
101,106,26
101,108,20
101,105,53
101,102,63
101,302,7
101,106,26
101,402,3
101,104,28
101,101,55
101,105,53
101,403,2
101,102,63
101,304,1
101,301,7
101,102,63
101,102,63
101,102,63
101,102,63
101,108,20
101,105,53
101,106,26
101,483,7
101,483,7
101,401,5
101,102,63
101,101,55
101,102,63
101,103,30
101,110,3
101,108,20
101,102,63
101,105,53
101,106,26
101,110,3
101,401,5
101,307,3
101,480,4
101,108,20
101,105,53
101,108,20
101,106,26
101,308,2
101,309,1
101,102,63
101,105,53
101,105,53
101,308,2
101,107,7
101,103,30
101,106,26
101,106,26
101,301,7
101,104,28
101,302,7
101,109,3
101,103,30
101,106,26
101,102,63
101,104,28
101,103,30
101,408,1
101,107,7
101,108,20
101,101,55
101,307,3
101,104,28
101,106,26
101,105,53
101,103,30
101,101,55
101,104,28
101,108,20
101,483,7
101,108,20
101,102,63
101,110,3
101,104,28
101,105,53
101,101,55
101,107,7
101,106,26
101,101,55
101,104,28
101,101,55
101,108,20
101,104,28
101,105,53
101,104,28
101,101,55
101,101,55
101,102,63
101,104,28
101,106,26
101,302,7
101,102,63
101,101,55
101,102,63
101,101,55
101,102,63
101,102,63
101,483,7
101,106,26
101,102,63
101,111,2
101,104,28
101,480,4
101,307,3
101,103,30
101,103,30
101,106,26
101,109,3
101,102,63
101,102,63
101,103,30
101,105,53
101,105,53
101,103,30
101,101,55
101,101,55
101,301,7
101,106,26
101,101,55
101,306,2
101,103,30
101,401,5
101,101,55
101,105,53
101,103,30
101,101,55
101,401,5
101,102,63
101,301,7
101,101,55
101,102,63
101,101,55
101,101,55
101,102,63
101,103,30
101,101,55
101,105,53
101,105,53
101,108,20
101,105,53
101,102,63
101,102,63
101,106,26
101,106,26
101,102,63
101,102,63
101,102,63
101,105,53
101,102,63
101,105,53
101,102,63
101,106,26
101,303,1
101,103,30
101,102,63
101,102,63
101,403,2
101,105,53
101,103,30
101,104,28
101,101,55
101,105,53
101,102,63
101,103,30
101,102,63
101,102,63
101,102,63
101,108,20
101,106,26
101,105,53
101,101,55
101,102,63
101,105,53
101,105,53
101,102,63
101,103,30
101,102,63
101,102,63
101,101,55
101,108,20
101,105,53
101,102,63
101,102,63
101,302,7
101,104,28
101,102,63
101,102,63
101,105,53
101,102,63
101,101,55
101,108,20
101,101,55
101,111,2
101,105,53
101,101,55
101,102,63
101,101,55
102,105,202
102,102,154
102,105,202
102,105,202
102,301,26
102,105,202
102,105,202
102,105,202
102,107,50
102,101,83
102,104,113
102,302,26
102,104,113
102,102,154
102,107,50
102,301,26
102,112,8
102,406,4
102,401,23
102,106,85
102,103,105
102,306,10
102,105,202
102,102,154
102,103,105
102,304,6
102,104,113
102,307,7
102,105,202
102,102,154
102,401,23
102,104,113
102,108,78
102,105,202
102,108,78
102,105,202
102,102,154
102,105,202
102,102,154
102,104,113
102,106,85
102,308,4
102,107,50
102,314,7
102,108,78
102,103,105
102,312,2
102,101,83
102,103,105
102,404,2
102,102,154
102,401,23
102,306,10
102,302,26
102,102,154
102,164,11
102,303,10
102,102,154
102,108,78
102,102,154
102,104,113
102,108,78
102,208,1
102,103,105
102,302,26
102,107,50
102,105,202
102,106,85
102,107,50
102,101,83
102,106,85
102,105,202
102,102,154
102,105,202
102,108,78
102,103,105
102,105,202
102,402,11
102,483,9
102,102,154
102,102,154
102,102,154
102,304,6
102,301,26
102,101,83
102,107,50
102,107,50
102,105,202
102,105,202
102,102,154
102,102,154
102,301,26
102,101,83
102,104,113
102,403,6
102,106,85
102,104,113
102,105,202
102,105,202
102,103,105
102,103,105
102,101,83
102,402,11
102,104,113
102,105,202
102,102,154
102,107,50
102,105,202
102,101,83
102,101,83
102,102,154
102,103,105
102,105,202
102,106,85
102,104,113
102,102,154
102,102,154
102,105,202
102,108,78
102,101,83
102,105,202
102,102,154
102,102,154
102,105,202
102,105,202
102,105,202
102,104,113
102,105,202
102,102,154
102,108,78
102,106,85
102,105,202
102,105,202
102,102,154
102,109,7
102,111,5
102,104,113
102,103,105
102,103,105
102,105,202
102,403,6
102,105,202
102,104,113
102,102,154
102,104,113
102,103,105
102,104,113
102,105,202
102,106,85
102,105,202
102,164,11
102,483,9
102,101,83
102,201,2
102,105,202
102,107,50
102,102,154
102,105,202
102,103,105
102,401,23
102,102,154
102,102,154
102,105,202
102,105,202
102,105,202
102,101,83
102,105,202
102,105,202
102,101,83
102,102,154
102,105,202
102,105,202
102,105,202
102,104,113
102,105,202
102,106,85
102,104,113
102,108,78
102,102,154
102,105,202
102,105,202
102,104,113
102,108,78
102,105,202
102,105,202
102,103,105
102,108,78
102,108,78
102,104,113
102,483,9
102,102,154
102,105,202
102,103,105
102,112,8
102,105,202
102,312,2
102,164,11
102,105,202
102,104,113
102,105,202
102,103,105
102,104,113
102,480,10
102,105,202
102,106,85
102,107,50
102,104,113
102,105,202
102,105,202
102,104,113
102,164,11
102,105,202
102,306,10
102,108,78
102,108,78
102,102,154
102,102,154
102,105,202
102,102,154
102,103,105
102,105,202
102,101,83
102,105,202
102,483,9
102,104,113
102,104,113
102,106,85
102,108,78
102,101,83
102,102,154
102,105,202
102,108,78
102,105,202
102,103,105
102,105,202
102,105,202
102,105,202
102,104,113
102,483,9
102,105,202
102,105,202
102,106,85
102,480,10
102,302,26
102,103,105
102,212,3
102,104,113
102,402,11
102,105,202
102,102,154
102,101,83
102,105,202
102,105,202
102,107,50
102,404,2
102,101,83
102,102,154
102,101,83
102,102,154
102,103,105
102,108,78
102,107,50
102,310,3
102,103,105
102,302,26
102,101,83
102,106,85
102,102,154
102,302,26
102,105,202
102,102,154
102,106,85
102,106,85
102,102,154
102,402,11
102,101,83
102,107,50
102,104,113
102,105,202
102,102,154
102,102,154
102,102,154
102,101,83
102,302,26
102,106,85
102,104,113
102,314,7
102,106,85
102,105,202
102,105,202
102,105,202
102,104,113
102,101,83
102,102,154
102,103,105
102,101,83
102,102,154
102,103,105
102,306,10
102,104,113
102,226,1
102,106,85
102,105,202
102,108,78
102,105,202
102,109,7
102,104,113
102,112,8
102,104,113
102,102,154
102,102,154
102,301,26
102,106,85
102,103,105
102,105,202
102,108,78
102,301,26
102,301,26
102,108,78
102,101,83
102,105,202
102,101,83
102,104,113
102,105,202
102,105,202
102,104,113
102,101,83
102,101,83
102,102,154
102,103,105
102,106,85
102,103,105
102,405,3
102,201,2
102,106,85
102,103,105
102,105,202
102,105,202
102,105,202
102,108,78
102,108,78
102,105,202
102,103,105
102,108,78
102,106,85
102,108,78
102,102,154
102,105,202
102,104,113
102,103,105
102,103,105
102,105,202
102,107,50
102,102,154
102,108,78
102,106,85
102,401,23
102,301,26
102,105,202
102,102,154
102,403,6
102,164,11
102,110,5
102,106,85
102,101,83
102,108,78
102,102,154
102,105,202
102,101,83
102,104,113
102,107,50
102,105,202
102,105,202
102,301,26
102,112,8
102,402,11
102,102,154
102,164,11
102,105,202
102,105,202
102,108,78
102,104,113
102,112,8
102,102,154
102,104,113
102,111,5
102,101,83
102,106,85
102,105,202
102,101,83
102,112,8
102,102,154
102,303,10
102,105,202
102,103,105
102,302,26
102,107,50
102,301,26
102,309,4
102,107,50
102,308,4
102,107,50
102,104,113
102,401,23
102,102,154
102,103,105
102,105,202
102,102,154
102,106,85
102,302,26
102,101,83
