Origin,Orig Long,Orig Lat,Dest Long,Dest Lat,Times
Manhattan,-73.978165,40.757977,-73.989838,40.751171,0
Manhattan,-74.006683,40.731781,-73.994499,40.75066,0
Manhattan,-74.004707,40.73777,-74.009834,40.726002,0
Manhattan,-73.974602,40.759945,-73.984734,40.759388,0
Manhattan,-73.97625,40.748528,-74.002586,40.747868,0
Manhattan,-73.966743,40.764252,-73.983322,40.743763,0
Manhattan,-73.995804,40.743977,-74.007416,40.744343,0
Manhattan,-73.989937,40.756775,-73.86525,40.77063,0
Manhattan,-73.980072,40.743137,-73.982712,40.735336,0
Manhattan,-73.977936,40.786983,-73.952919,40.80637,0
Manhattan,-73.982452,40.773167,-73.964134,40.773815,0
Manhattan,-73.99556,40.749294,-73.988686,40.759052,0
Manhattan,-73.971497,40.791321,-73.964478,40.775921,0
Manhattan,-73.98851,40.774307,-73.981094,40.755325,0
Manhattan,-73.994911,40.723221,-73.971558,40.761612,0
Manhattan,-74.010391,40.708702,-73.987846,40.756104,0
Manhattan,-73.973732,40.756287,-73.998413,40.756832,0
Manhattan,-73.968925,40.767704,-73.96199,40.776566,0
Manhattan,-73.96212,40.769737,-73.979561,40.75539,0
Manhattan,-73.989708,40.756714,-73.977615,40.787575,0
Queens,-73.78331,40.648766,-73.988914,40.748207,0
Manhattan,-73.956505,40.771278,-73.996368,40.73246,0
Manhattan,-73.95578,40.77932,-73.967285,40.763344,0
Manhattan,-73.978439,40.764679,-73.977684,40.777004,0
Manhattan,-73.992172,40.749954,-73.99675,40.744553,0
Brooklyn,-73.992111,40.689701,-74.007156,40.679295,0
Manhattan,-73.978653,40.787735,-73.96579,40.805321,0
Manhattan,-73.965317,40.769375,-73.967133,40.763699,0
Queens,-73.862709,40.769142,-73.982079,40.762295,0
Manhattan,-73.977127,40.74831,-73.990913,40.751053,0
Brooklyn,-73.976318,40.682724,-73.917915,40.742664,0
Manhattan,-73.966682,40.761139,-73.938515,40.792332,0
Manhattan,-73.948334,40.776482,-73.99176,40.733841,0
Manhattan,-73.993202,40.724407,-73.984833,40.748741,0
Brooklyn,-73.9655,40.711113,-73.918327,40.758671,0
Manhattan,-73.991936,40.749622,-73.978531,40.751308,0
Manhattan,-73.982384,40.752102,-73.993332,40.736393,0
Manhattan,-73.993828,40.721008,-73.9524,40.723228,0
Manhattan,-73.991142,40.750366,-73.984436,40.618481,0
Manhattan,-73.987022,40.759373,-73.862022,40.768017,0
Manhattan,-73.991173,40.74313,-74.013763,40.702297,0
Manhattan,-73.99115,40.750023,-73.952614,40.74115,0
Manhattan,-73.989342,40.763168,-73.991577,40.750309,0
Manhattan,-73.959496,40.779442,-73.960724,40.775745,0
Queens,-73.904716,40.726418,-73.984154,40.760082,0
Manhattan,-73.95871,40.768471,-73.973656,40.763348,0
Queens,-73.873154,40.773998,-73.92878,40.859314,0
Manhattan,-73.990623,40.756813,-73.982101,40.758984,0
Manhattan,-73.965843,40.758705,-73.978134,40.752731,0
Manhattan,-73.981796,40.758862,-73.967239,40.7617,0
Manhattan,-73.977318,40.764542,-73.981895,40.779526,0
Manhattan,-73.986534,40.7342,-73.987869,40.75914,0
Manhattan,-73.96666,40.773125,-73.971802,40.765766,0
Manhattan,-73.958649,40.768791,-73.970909,40.76149,0
Manhattan,-73.975922,40.744606,-73.998146,40.729076,0
Manhattan,-73.963608,40.774113,-73.944038,40.717518,0
Manhattan,-73.958481,40.761166,-73.986542,40.749397,0
Manhattan,-73.985573,40.747375,-73.983879,40.739223,0
Manhattan,-73.985184,40.773998,-73.964737,40.801834,0
Manhattan,-73.967682,40.751221,-73.995232,40.717422,0
Manhattan,-74.007469,40.708904,-73.981888,40.67767,0
Manhattan,-73.9925,40.758308,-73.96714,40.76078,0
Manhattan,-73.982315,40.774441,-73.965904,40.801422,0
Manhattan,-73.977676,40.746544,-73.999458,40.738972,0
Manhattan,-73.987732,40.751884,-73.98172,40.746529,0
Queens,-73.864861,40.770428,-74.006653,40.707874,0
Manhattan,-73.979706,40.758427,-73.985558,40.747265,0
Manhattan,-73.988495,40.737442,-73.988106,40.7491,0
Manhattan,-73.980118,40.754601,-73.988045,40.748962,0
Manhattan,-74.004578,40.707554,-73.99247,40.734222,0
Manhattan,-73.945915,40.786156,-73.971581,40.794956,0
Queens,-73.790016,40.644058,-73.956703,40.747852,0
Manhattan,-73.998337,40.746025,-73.981255,40.747223,0
Manhattan,-73.982079,40.763794,-74.003113,40.731106,0
Manhattan,-73.99469,40.750191,-73.990089,40.757217,0
Manhattan,-73.947601,40.77533,-73.978798,40.777584,0
Manhattan,-73.987099,40.755215,-73.974457,40.755589,0
Manhattan,-73.98793,40.749542,-73.978981,40.766735,0
Manhattan,-73.989296,40.756313,-73.987885,40.751122,0
Manhattan,-73.961678,40.756123,-73.969917,40.753159,0
Manhattan,-73.946854,40.775887,-73.961754,40.77993,0
Manhattan,-73.986847,40.762066,-74.002892,40.760334,0
Manhattan,-73.986351,40.738503,-73.981422,40.74744,0
Manhattan,-73.9879,40.737755,-73.979568,40.730965,0
Manhattan,-73.998299,40.740654,-74.000504,40.747913,0
Manhattan,-74.003059,40.723473,-73.976883,40.751884,0
Manhattan,-73.952026,40.766479,-73.966827,40.759968,0
Manhattan,-73.945396,40.80209,-73.945412,40.802025,0
Manhattan,-73.983917,40.746563,-73.990921,40.750141,0
Manhattan,-73.984734,40.76931,-73.997787,40.744205,0
Manhattan,-73.976288,40.765472,-73.975105,40.757393,0
Manhattan,-73.995102,40.744781,-73.992508,40.738434,0
Manhattan,-73.972366,40.762138,-73.957542,40.782902,0
Manhattan,-74.00679,40.754345,-73.980316,40.784081,0
Manhattan,-74.005058,40.728676,-73.977501,40.757061,0
Manhattan,-73.960358,40.769138,-73.961914,40.775684,0
Queens,-73.874374,40.774078,-73.978325,40.764835,0
Manhattan,-73.985962,40.758213,-73.950424,40.783554,0
Queens,-73.783318,40.648636,-73.964249,40.719543,0
Manhattan,-74.00843,40.707649,-73.992279,40.749187,0
Manhattan,-73.987953,40.761723,-73.989838,40.756985,0
Manhattan,-73.994026,40.719303,-73.978729,40.762787,0
Manhattan,-73.997856,40.756405,-73.872955,40.774406,0
Manhattan,-73.988632,40.73122,-73.986717,40.738674,0
Manhattan,-73.990204,40.748875,-73.958092,40.765244,0
Manhattan,-73.994225,40.743343,-73.990562,40.724537,0
Manhattan,-73.983711,40.756092,-73.98494,40.748222,0
Manhattan,-74.000961,40.747326,-73.981567,40.742344,0
Manhattan,-74.000534,40.742233,-74.005173,40.728985,0
Manhattan,-73.991524,40.750286,-73.970345,40.751801,0
Manhattan,-74.006844,40.741451,-73.994499,40.75061,0
Manhattan,-73.970627,40.788956,-73.96949,40.797729,0
Manhattan,-73.985481,40.75679,-73.99131,40.749985,0
Manhattan,-73.988838,40.723125,-73.99382,40.721088,0
Manhattan,-73.988708,40.720913,-73.940193,40.79808,0
Manhattan,-73.981224,40.767769,-73.970879,40.758625,0
Manhattan,-73.990692,40.718311,-73.979843,40.739082,0
Manhattan,-73.952293,40.766174,-73.956772,40.783718,0
Manhattan,-73.96151,40.771465,-73.991211,40.739906,0
Manhattan,-74.007858,40.705116,-73.789879,40.643303,0
Manhattan,-73.995338,40.744701,-73.993591,40.737778,0
Manhattan,-73.989571,40.756386,-73.980858,40.761368,0
Manhattan,-73.99514,40.754845,-74.00518,40.728897,0
Manhattan,-73.993645,40.75573,-73.984528,40.762451,0
Manhattan,-73.999763,40.743454,-73.978607,40.752537,0
Manhattan,-73.999146,40.734352,-73.983322,40.773598,0
Manhattan,-73.990356,40.749485,-73.990852,40.756248,0
Manhattan,-73.982033,40.783218,-73.957726,40.80088,0
Manhattan,-73.964081,40.76532,-73.967987,40.762878,0
Manhattan,-74.00016,40.721786,-74.004173,40.716911,0
Manhattan,-73.977966,40.745564,-73.979599,40.735664,0
Manhattan,-73.98909,40.748367,-73.974983,40.756035,0
Manhattan,-73.975433,40.752464,-73.975189,40.741436,0
Manhattan,-74.003731,40.726925,-73.998352,40.745613,0
Manhattan,-73.978653,40.752361,-73.980858,40.747856,0
Manhattan,-73.977982,40.742004,-73.981308,40.743031,0
Brooklyn,-73.95079,40.714039,-73.940895,40.721325,0
Brooklyn,-73.995682,40.679161,-73.991219,40.733498,0
Manhattan,-74.010124,40.720692,-73.979279,40.758221,0
Manhattan,-73.99482,40.743816,-73.954865,40.820244,0
Manhattan,-73.954712,40.789288,-73.96611,40.789959,0
Manhattan,-73.955818,40.787796,-73.976006,40.760063,0
Manhattan,-73.959908,40.806396,-73.983292,40.775673,0
Manhattan,-73.971962,40.749996,-73.949791,40.72604,0
Manhattan,-73.998047,40.74577,-73.990494,40.761196,0
Manhattan,-73.962318,40.77911,-73.981895,40.773785,0
Manhattan,-73.989059,40.750572,-73.973686,40.755997,0
Brooklyn,-73.954796,40.59893,-73.950531,40.604225,0
Manhattan,-73.97345,40.763561,-74.008682,40.730442,0
Manhattan,-73.980438,40.76128,-73.990608,40.740143,0
Manhattan,-73.97522,40.751698,-73.986893,40.75592,0
Manhattan,-73.966156,40.764412,-73.973183,40.792542,0
Manhattan,-73.957909,40.774628,-73.961441,40.764832,0
Manhattan,-73.996933,40.720055,-73.993546,40.693043,0
Manhattan,-74.000313,40.730068,-73.987373,40.768406,0
Manhattan,-73.997292,40.720982,-74.000443,40.732376,0
Brooklyn,-73.993134,40.692734,-74.010071,40.720856,0
Manhattan,-73.966843,40.756741,-73.987885,40.722713,0
Manhattan,-73.956451,40.771442,-73.972733,40.74345,0
Manhattan,-74.005455,40.740772,-73.967354,40.798096,0
Manhattan,-73.998657,40.74015,-73.98526,40.763435,0
Manhattan,-73.954376,40.789677,-73.986755,40.757061,0
Manhattan,-73.989914,40.760544,-73.910805,40.764915,0
