Origin,Orig Long,Orig Lat,Destination,Dest Long,Dest Lat,Times
Manhattan,-73.978165,40.757977,Manhattan,-73.989838,40.751171,0
Manhattan,-74.006683,40.731781,Manhattan,-73.994499,40.75066,0
Manhattan,-74.004707,40.73777,Manhattan,-74.009834,40.726002,0
Manhattan,-73.974602,40.759945,Manhattan,-73.984734,40.759388,0
Manhattan,-73.97625,40.748528,Manhattan,-74.002586,40.747868,0
Manhattan,-73.966743,40.764252,Manhattan,-73.983322,40.743763,0
Manhattan,-73.995804,40.743977,Manhattan,-74.007416,40.744343,0
Manhattan,-73.989937,40.756775,Queens,-73.86525,40.77063,0
Manhattan,-73.980072,40.743137,Manhattan,-73.982712,40.735336,0
Manhattan,-73.977936,40.786983,Manhattan,-73.952919,40.80637,0
Manhattan,-73.982452,40.773167,Manhattan,-73.964134,40.773815,0
Manhattan,-73.99556,40.749294,Manhattan,-73.988686,40.759052,0
Manhattan,-73.971497,40.791321,Manhattan,-73.964478,40.775921,0
Manhattan,-73.98851,40.774307,Manhattan,-73.981094,40.755325,0
Manhattan,-73.994911,40.723221,Manhattan,-73.971558,40.761612,0
Manhattan,-74.010391,40.708702,Manhattan,-73.987846,40.756104,0
Manhattan,-73.973732,40.756287,Manhattan,-73.998413,40.756832,0
Manhattan,-73.968925,40.767704,Manhattan,-73.96199,40.776566,0
Manhattan,-73.96212,40.769737,Manhattan,-73.979561,40.75539,0
Manhattan,-73.989708,40.756714,Manhattan,-73.977615,40.787575,0
Queens,-73.78331,40.648766,Manhattan,-73.988914,40.748207,0
Manhattan,-73.956505,40.771278,Manhattan,-73.996368,40.73246,0
Manhattan,-73.95578,40.77932,Manhattan,-73.967285,40.763344,0
Manhattan,-73.978439,40.764679,Manhattan,-73.977684,40.777004,0
Manhattan,-73.992172,40.749954,Manhattan,-73.99675,40.744553,0
Brooklyn,-73.992111,40.689701,Brooklyn,-74.007156,40.679295,0
Manhattan,-73.978653,40.787735,Manhattan,-73.96579,40.805321,0
Manhattan,-73.965317,40.769375,Manhattan,-73.967133,40.763699,0
Queens,-73.862709,40.769142,Manhattan,-73.982079,40.762295,0
Manhattan,-73.977127,40.74831,Manhattan,-73.990913,40.751053,0
Brooklyn,-73.976318,40.682724,Queens,-73.917915,40.742664,0
Manhattan,-73.966682,40.761139,Manhattan,-73.938515,40.792332,0
Manhattan,-73.948334,40.776482,Manhattan,-73.99176,40.733841,0
Manhattan,-73.993202,40.724407,Manhattan,-73.984833,40.748741,0
Brooklyn,-73.9655,40.711113,Queens,-73.918327,40.758671,0
Manhattan,-73.991936,40.749622,Manhattan,-73.978531,40.751308,0
Manhattan,-73.982384,40.752102,Manhattan,-73.993332,40.736393,0
Manhattan,-73.993828,40.721008,Brooklyn,-73.9524,40.723228,0
Manhattan,-73.991142,40.750366,Brooklyn,-73.984436,40.618481,0
Manhattan,-73.987022,40.759373,Queens,-73.862022,40.768017,0
Manhattan,-73.991173,40.74313,Manhattan,-74.013763,40.702297,0
Manhattan,-73.99115,40.750023,Queens,-73.952614,40.74115,0
