id,number_boroughCD,Times
0,311,0
1,404,0
2,203,0
3,308,0
4,106,0
5,105,0
6,501,0
7,595,0
8,406,0
9,313,0
10,312,0
11,356,0
12,482,0
13,307,0
14,310,0
15,314,0
16,209,0
17,108,0
18,202,0
19,309,0
20,355,0
21,101,0
22,413,0
23,103,0
24,409,0
25,315,0
26,318,0
27,107,0
28,204,0
29,303,0
30,301,0
31,304,0
32,401,0
33,480,0
34,228,0
35,201,0
36,102,0
37,104,0
38,210,0
39,211,0
40,302,0
41,306,0
42,414,0
43,484,0
44,316,0
45,317,0
46,483,0
47,412,0
48,408,0
49,411,0
50,405,0
51,402,0
52,403,0
53,502,0
54,503,0
55,305,0
56,410,0
57,111,0
58,164,0
59,226,0
60,227,0
61,206,0
62,205,0
63,207,0
64,212,0
65,112,0
66,208,0
67,109,0
68,110,0
69,407,0
70,481,0
